,序號,詞語,等別,級別,情境,書面字頻(每百萬字),口語字頻(每百萬字),簡編本系統號,參考注音,參考漢語拼音,definition
11,12,吃飯,基礎,第1級,核心詞,60,140,[],ㄔ ㄈㄢˋ,chīfàn,"to have a meal, to eat, to make a living"
12,13,打,基礎,第1級,核心詞,352,364,"[['打', ['6762']]]",ㄉㄚˇ,dǎ,"to beat, to strike, to hit, to break, to type, to mix up, to build, to fight, to fetch, to make, to tie up, to issue, to shoot, to calculate, to play (a game), since, from"
13,14,大,基礎,第1級,核心詞,2110,2859,"[['大', ['6933', '7483']]]",ㄉㄚˋ,dà,"big, large, great, older (than another person), eldest (as in 大姐[da4 jie3]), greatly, freely, fully, (dialect) father, (dialect) uncle (father's brother)"
14,15,大家,基礎,第1級,核心詞,464,1712,"[['大家', ['7168', '45136']]]",ㄉㄚˋ ㄐㄧㄚ,dàjiā,"everyone, influential family, great expert"
15,16,大學,基礎,第1級,8.教育、學習,380,219,"[['大學', ['7237']]]",ㄉㄚˋ ㄒㄩㄝˊ,dàxué,"university, college, CL:所[suo3]"
16,17,帶,基礎,第1級,核心詞,450,684,"[['帶', ['7560']]]",ㄉㄞˋ,dài,"band, belt, girdle, ribbon, tire, area, zone, region, CL:條|条[tiao2], to wear, to carry, to take along, to bear (i.e. to have), to lead, to bring, to look after, to raise"
17,18,到,基礎,第1級,核心詞,2297,3229,"[['到', ['7667']]]",ㄉㄠˋ,dào,"to reach, to arrive, to leave for, to go to, to (a place), until (a time), up to (a point), (verb complement indicating arriving at a place or reaching a point), considerate, thoughtful, thorough"
18,19,的,基礎,第1級,核心詞,62002,62578,"[['的', ['7457', '8310', '8568']]]",ㄉㄜ˙,de,"of, ~'s (possessive particle), (used after an attribute), (used to form a nominal expression), (used at the end of a declarative sentence for emphasis), also pr. [di4] or [di5] in poetry and songs"
19,20,點,基礎,第1級,核心詞,479,684,"[['點', ['8812']]]",ㄉㄧㄢˇ,diǎn,"point, dot, drop, speck, o'clock, point (in space or time), to draw a dot, to check on a list, to choose, to order (food in a restaurant), to touch briefly, to hint, to light, to ignite, to pour a liquid drop by drop, (old) one fifth of a two-hour watch 更[geng1], dot stroke in Chinese characters, classifier for items"
20,21,電話,基礎,第1級,核心詞,167,72,"[['電話', ['8938']]]",ㄉㄧㄢˋ ㄏㄨㄚˋ,diànhuà,"telephone, CL:部[bu4], phone call, CL:通[tong1], phone number"
21,22,弟弟/弟,基礎,第1級,核心詞,96,88,"[['弟弟', ['8531']], ['弟', ['8528', '10822']]]",ㄉㄧˋ ˙ㄉㄧ / ㄉㄧˋ,dìdi/dì,"younger brother, CL:個|个[ge4], 位[wei4]"
22,23,東西,基礎,第1級,核心詞,561,1120,"[['東西', ['9785', '9787']]]",ㄉㄨㄥ ˙ㄒㄧ,dōngxi,"thing, stuff, person, CL:個|个[ge4], 件[jian4]"
23,24,都,基礎,第1級,核心詞,4645,7029,"[['都', ['7780', '9182']]]",ㄉㄡ,dōu,"all, both, entirely, (used for emphasis) even, already, (not) at all"
24,25,對,基礎,第1級,核心詞,3485,5883,"[['對', ['9499']]]",ㄉㄨㄟˋ,duì,"right, correct, towards, at, for, concerning, regarding, to treat (sb a certain way), to face, (bound form) opposite, facing, matching, to match together, to adjust, to fit, to suit, to answer, to reply, to add, to pour in (a fluid), to check, to compare, classifier: couple, pair"
25,26,對不起,基礎,第1級,6.社交、人際,37,65,"[['對不起', ['9507']]]",ㄉㄨㄟˋ ㄅㄨˋ ㄑㄧˇ,duìbùqǐ,"I'm sorry, excuse me, I beg your pardon, to let (sb) down, to disappoint"
26,27,多,基礎,第1級,核心詞,1236,1594,"[['多', ['9365']]]",ㄉㄨㄛ,duō,"many, much, too many, in excess, (after a numeral) ... odd, how (to what extent) (Taiwan pr. [duo2]), (bound form) multi-, poly-"
27,28,多少,基礎,第1級,核心詞,207,272,"[['多少', ['9405']]]",ㄉㄨㄛ ㄕㄠˇ,duōshǎo,"number, amount, somewhat"
28,29,二,基礎,第1級,核心詞,539,227,"[['二', ['39931']]]",ㄦˋ,èr,"two, 2, (Beijing dialect) stupid"
29,30,兒子,基礎,第1級,1.個人資料,277,149,"[['兒子', ['39888']]]",ㄦˊ ˙ㄗ,érzi,son
30,31,分,基礎,第1級,核心詞,225,359,"[['分', ['5702', '5840']]]",ㄈㄣ,fēn,"to divide, to separate, to distribute, to allocate, to distinguish (good and bad), (bound form) branch of (an organization), sub- (as in 分局[fen1 ju2]), fraction, one tenth (of certain units), unit of length equivalent to 0.33 cm, minute (unit of time), minute (angular measurement unit), a point (in sports or games), 0.01 yuan (unit of money)"
31,32,高,基礎,第1級,核心詞,496,694,"[['高', ['16055']]]",ㄍㄠ,gāo,"high, tall, above average, loud, your (honorific)"
32,33,個,基礎,第1級,核心詞,9562,20644,"[['個', ['15934', '15960']]]",˙ㄍㄜ,ge,"(classifier used before a noun that has no specific classifier), (bound form) individual"
33,34,哥哥/哥,基礎,第1級,核心詞,113,148,"[['哥哥', ['15836']], ['哥', ['15835']]]",ㄍㄜ ˙ㄍㄜ / ㄍㄜ,gēge/gē,"older brother, CL:個|个[ge4], 位[wei4]"
34,35,給,基礎,第1級,核心詞,1039,1401,"[['給', ['16048', '21535']]]",ㄍㄟˇ,gěi,"to, for, for the benefit of, to give, to allow, to do sth (for sb), (grammatical equivalent of 被), (grammatical equivalent of 把), (sentence intensifier)"
35,36,工作,基礎,第1級,3.職業,904,994,"[['工作', ['17599']]]",ㄍㄨㄥ ㄗㄨㄛˋ,gōngzuò,"to work, (of a machine) to operate, job, work, task, CL:個|个[ge4], 份[fen4], 項|项[xiang4]"
36,37,國,基礎,第1級,核心詞,256,363,"[['國', ['16933']]]",ㄍㄨㄛˊ,guó,"country, nation, state (CL:個|个[ge4]), (bound form) national"
37,38,孩子,基礎,第1級,核心詞,1345,1059,"[['孩子', ['19228']]]",ㄏㄞˊ ˙ㄗ,háizi,child
38,39,和,基礎,第1級,核心詞,5437,2135,"[['和', ['19016', '19190', '19725', '19883', '20369', '20436']]]",ㄏㄢˋ / ㄏㄜˊ,hàn/hé,"(joining two nouns) and; together with; with (Taiwan pr. [han4]), (math.) sum, to make peace, (sports) to draw, to tie, (bound form) harmonious, (bound form) Japan; Japanese "
39,40,號,基礎,第1級,核心詞,73,295,"[['號', ['19417', '19511']]]",ㄏㄠˋ,hào,"ordinal number, day of a month, mark, sign, business establishment, size, ship suffix, horn (wind instrument), bugle call, assumed name, to take a pulse, classifier used to indicate number of people"
40,41,好,基礎,第1級,核心詞,1887,5853,"[['好', ['19419', '19462']]]",ㄏㄠˇ,hǎo,"good, appropriate, proper, all right!, (before a verb) easy to, (before a verb) good to, (before an adjective for exclamatory effect) so, (verb complement indicating completion), (of two people) close, on intimate terms, (after a personal pronoun) hello"
41,42,喝,基礎,第1級,核心詞,250,296,"[['喝', ['19012', '19194']]]",ㄏㄜ,hē,"to drink, variant of 嗬[he1]"
42,43,很,基礎,第1級,核心詞,3068,6550,"[['很', ['19755']]]",ㄏㄣˇ,hěn,"(adverb of degree), quite, very, awfully"
43,44,後,基礎,第1級,核心詞,1593,891,"[['後', ['19555']]]",ㄏㄡˋ,hòu,"back, behind, rear, afterwards, after, later, post-"
44,45,話,基礎,第1級,核心詞,589,1492,"[['話', ['20243']]]",ㄏㄨㄚˋ,huà,"dialect, language, spoken words, speech, talk, words, conversation, what sb said, CL:種|种[zhong3], 席[xi2], 句[ju4], 口[kou3], 番[fan1]"
45,46,幾,基礎,第1級,核心詞,963,706,"[['幾', ['21212', '21540']]]",ㄐㄧˇ,jǐ,"how much, how many, several, a few"
46,47,家,基礎,第1級,核心詞,1060,1286,"[['家', ['16670', '21800']]]",ㄐㄧㄚ,jiā,"home, family, (polite) my (sister, uncle etc), classifier for families or businesses, refers to the philosophical schools of pre-Han China, noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian, CL:個|个[ge4]"
47,48,叫,基礎,第1級,核心詞,533,570,"[['叫', ['22498']]]",ㄐㄧㄠˋ,jiào,"to shout, to call, to order, to ask, to be called, by (indicates agent in the passive mood)"
48,49,腳,基礎,第1級,核心詞,208,178,"[['腳', ['22455']]]",ㄐㄧㄠˇ,jiǎo,"foot, leg (of an animal or an object), base (of an object), CL:雙|双[shuang1], 隻|只[zhi1], classifier for kicks"
49,50,姊姊/姐姐/姊/姐,基礎,第1級,核心詞,108,328,"[['姊姊', ['36718']], ['姐姐', ['45347']], ['姊', ['22185', '36714']], ['姐', ['22181']]]",ㄐㄧㄝˇ ˙ㄐㄧㄝ / ㄐㄧㄝˇ,jiějie/jiě,"older sister, Taiwan pr. [jie3 jie5]"
50,51,今年,基礎,第1級,核心詞,44,343,"[['今年', ['23129']]]",ㄐㄧㄣ ㄋㄧㄢˊ,jīnnián,this year
51,52,今天,基礎,第1級,核心詞,290,1071,"[['今天', ['23128']]]",ㄐㄧㄣ ㄊㄧㄢ,jīntiān,"today, the present time, now"
52,53,就,基礎,第1級,核心詞,7262,16921,"[['就', ['22719']]]",ㄐㄧㄡˋ,jiù,"(after a suppositional clause) in that case, then, (after a clause of action) as soon as, immediately after, (same as 就是[jiu4 shi4]) merely, nothing else but, simply, just, precisely, exactly, only, as little as, as much as, as many as, to approach, to move towards, to undertake, to engage in, (often followed by 著|着[zhe5]) taking advantage of, (of food) to go with, with regard to, concerning, (pattern: 就[jiu4] ... 也[ye3] ...) even if ... still ..., (pattern: 不[bu4] ... 就[jiu4] ...) if not ... then must be ..."
53,54,久,基礎,第1級,核心詞,276,293,"[['久', ['22608']]]",ㄐㄧㄡˇ,jiǔ,"(long) time, (long) duration of time"
54,55,九,基礎,第1級,核心詞,138,82,"[['九', ['22594']]]",ㄐㄧㄡˇ,jiǔ,"nine, 9"
55,56,咖啡,基礎,第1級,10.餐飲、烹飪,55,89,"[['咖啡', ['17911']]]",ㄎㄚ ㄈㄟ,kāfēi,"coffee (loanword), CL:杯[bei1]"
56,57,看,基礎,第1級,核心詞,1808,3076,"[['看', ['18398', '18436']]]",ㄎㄢˋ,kàn,"to see, to look at, to read, to watch, to visit, to call on, to consider, to regard as, to look after, to treat (a patient or illness), to depend on, to feel (that), (after a verb) to give it a try, to watch out for"
57,58,可能,基礎,第1級,核心詞,1124,1522,"[['可能', ['17980']]]",ㄎㄜˇ ㄋㄥˊ,kěnéng,"might (happen), possible, probable, possibility, probability, maybe, perhaps, CL:個|个[ge4]"
58,59,可以,基礎,第1級,核心詞,2312,4257,"[['可以', ['18015']]]",ㄎㄜˇ ㄧˇ,kěyǐ,"can, may, possible, able to, not bad, pretty good"
59,60,塊,基礎,第1級,核心詞,240,542,"[['塊', ['18700']]]",ㄎㄨㄞˋ,kuài,"lump, chunk, piece, classifier for pieces of cloth, cake, soap etc, (coll.) classifier for money and currency units"
60,61,來,基礎,第1級,核心詞,2983,5979,"[['來', ['13269']]]",ㄌㄞˊ,lái,"to come, (used as a substitute for a more specific verb), hither (directional complement for motion toward the speaker, as in 回來|回来[hui2 lai5]), ever since (as in 自古以來|自古以来[zi4 gu3 yi3 lai2]), for the past (amount of time), (prefix) the coming ..., the next ... (as in 來世|来世[lai2 shi4]), (between two verbs) in order to, (after a round number) approximately, (used after 得[de2] to indicate possibility, as in 談得來|谈得来[tan2 de5 lai2], or after 不[bu4] to indicate impossibility, as in 吃不來|吃不来[chi1 bu5 lai2])"
61,62,老,基礎,第1級,核心詞,367,267,"[['老', ['13471']]]",ㄌㄠˇ,lǎo,"prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity, old (of people), venerable (person), experienced, of long standing, always, all the time, of the past, very, outdated, (of meat etc) tough"
62,63,老師,基礎,第1級,8.教育、學習,327,1420,"[['老師', ['13585']]]",ㄌㄠˇ ㄕ,lǎoshī,"teacher, CL:個|个[ge4], 位[wei4]"
63,64,冷,基礎,第1級,核心詞,71,215,"[['冷', ['13862']]]",ㄌㄥˇ,lěng,cold
64,65,兩,基礎,第1級,核心詞,2149,1737,"[['兩', ['14994']]]",ㄌㄧㄤˇ,liǎng,"two, both, some, a few, tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old)"
65,66,六,基礎,第1級,核心詞,306,208,"[['六', ['14595', '15298']]]",ㄌㄧㄡˋ,liù,"six, 6"
66,67,路,基礎,第1級,核心詞,300,352,"[['路', ['15338']]]",ㄌㄨˋ,lù,"road, CL:條|条[tiao2], journey, route, line (bus etc), sort, kind"
67,68,嗎,基礎,第1級,核心詞,945,1760,"[['嗎', ['3600', '3585']]]",˙ㄇㄚ,ma,"(question particle for ""yes-no"" questions)"
68,69,買,基礎,第1級,核心詞,262,449,"[['買', ['3795']]]",ㄇㄞˇ,mǎi,"to buy, to purchase"
69,70,媽媽/媽,基礎,第1級,核心詞,402,1342,"[['媽媽', ['3519']], ['媽', ['3518']]]",ㄇㄚ ˙ㄇㄚ / ㄇㄚ,māma/ma,"mama, mommy, mother, CL:個|个[ge4], 位[wei4]"
70,71,沒,基礎,第1級,核心詞,1269,1260,"[['沒', ['3846', '3710']]]",ㄇㄟˊ,méi,"(negative prefix for verbs) have not, not"
71,72,沒關係,基礎,第1級,核心詞,27,107,"[['沒關係', ['3856']]]",ㄇㄟˊ ㄍㄨㄢ ˙ㄒㄧ,méiguānxi,it doesn't matter
72,73,妹妹/妹,基礎,第1級,核心詞,95,83,"[['妹妹', ['3985']], ['妹', ['3984']]]",ㄇㄟˋ ˙ㄇㄟ / ㄇㄟˋ,mèimei/mèi,"younger sister, young woman, CL:個|个[ge4]"
73,74,沒有,基礎,第1級,核心詞,2443,3355,"[['沒有', ['3872']]]",ㄇㄟˊ ㄧㄡˇ,méiyǒu,"haven't, hasn't, doesn't exist, to not have, to not be"
74,75,們,基礎,第1級,核心詞,560,623,"[['們', ['4262', '45128']]]",˙ㄇㄣ,men,"plural marker for pronouns, and nouns referring to individuals"
75,76,名字,基礎,第1級,核心詞,182,111,"[['名字', ['4842']]]",ㄇㄧㄥˊ ˙ㄗ,míngzi,"name (of a person or thing), CL:個|个[ge4]"
76,77,明天,基礎,第1級,核心詞,78,131,"[['明天', ['4882']]]",ㄇㄧㄥˊ ㄊㄧㄢ,míngtiān,tomorrow
77,78,拿,基礎,第1級,核心詞,298,343,"[['拿', ['12134']]]",ㄋㄚˊ,ná,"to hold, to seize, to catch, to apprehend, to take, (used in the same way as 把[ba3]: to mark the following noun as a direct object)"
78,79,哪,基礎,第1級,核心詞,275,382,"[['哪', ['12151', '12179', '12964']]]",ㄋㄚˇ,nǎ,"how, which, (emphatic sentence-final particle, used instead of 啊[a5] after a word ending in ""n"")"
79,80,哪裡/哪裏/哪兒,基礎,第1級,核心詞,221,307,"[['哪裡', ['45213']]]",ㄋㄚˇ ㄌㄧˇ / ㄋㄚˇ ㄌㄧˇ / ㄋㄚˇ ㄦ,nǎlǐ/nǎlǐ/nǎr,"where?, somewhere, anywhere, wherever, nowhere (negative answer to question), humble expression denying compliment"
80,81,那/那裡/那裏/那兒,基礎,第1級,核心詞,3314,9035,"[['那', ['12130', '12145', '12170']], ['那裡', ['12148', '12173']]]",ㄋㄚˋ / ㄋㄚˋ ㄌㄧˇ / ㄋㄚˋ ㄦ,nà/nàlǐ/nàr,"(specifier) that, the, those (colloquial pr. [nei4]), (pronoun) that (referring to persons, things or situations), then (in that case)"
81,82,難,基礎,第1級,核心詞,307,415,"[['難', ['12436', '12496']]]",ㄋㄢˊ,nán,"difficult (to...), problem, difficulty, difficult, not good"
82,83,呢,基礎,第1級,核心詞,800,1792,"[['呢', ['12181', '12563']]]",˙ㄋㄜ,ne,"particle indicating that a previously asked question is to be applied to the preceding word (""What about ...?"", ""And ...?""), particle for inquiring about location (""Where is ...?""), particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board (""ok?"", ""are you with me?""), (at the end of a declarative sentence) particle indicating continuation of a state or action, particle indicating strong affirmation"
83,84,你,基礎,第1級,核心詞,5891,8736,"[['你', ['12572']]]",ㄋㄧˇ,nǐ,"you (informal, as opposed to courteous 您[nin2])"
84,85,妳,基礎,第1級,核心詞,463,1653,"[['妳', ['12580']]]",ㄋㄧˇ,nǐ,"you (Note: In Taiwan, 妳 is used to address females, but in mainland China, it is not commonly used. Instead, 你 is used to address both males and females.)"
85,86,你們,基礎,第1級,核心詞,409,1299,"[['你們', ['12573']]]",ㄋㄧˇ ˙ㄇㄣ,nǐmen,you (plural)
86,87,年,基礎,第1級,核心詞,1952,2976,"[['年', ['12761']]]",ㄋㄧㄢˊ,nián,"year, CL:個|个[ge4]"
87,88,您,基礎,第1級,核心詞,347,764,"[['您', ['12880']]]",ㄋㄧㄣˊ,nín,"you (courteous, as opposed to informal 你[ni3])"
88,89,女兒,基礎,第1級,1.個人資料,220,168,"[['女兒', ['13132']]]",ㄋㄩˇ ㄦˊ,nǚér,daughter
89,90,朋友,基礎,第1級,核心詞,445,464,"[['朋友', ['2895']]]",ㄆㄥˊ ㄧㄡˇ,péngyǒu,"friend, CL:個|个[ge4], 位[wei4]"
90,91,七,基礎,第1級,核心詞,240,151,"[['七', ['24344']]]",ㄑㄧ,qī,"seven, 7"
91,92,前,基礎,第1級,核心詞,1041,807,"[['前', ['25160']]]",ㄑㄧㄢˊ,qián,"front, forward, ahead, first, top (followed by a number), future, ago, before, BC (e.g. 前293年), former, formerly"
92,93,錢,基礎,第1級,核心詞,365,489,"[['錢', ['25262']]]",ㄑㄧㄢˊ,qián,"coin, money, CL:筆|笔[bi3], unit of weight, one tenth of a tael 兩|两[liang3]"
93,94,千,基礎,第1級,核心詞,70,75,"[['千', ['25049']]]",ㄑㄧㄢ,qiān,thousand
94,95,請,基礎,第1級,核心詞,488,447,"[['請', ['23806', '25806']]]",ㄑㄧㄥˇ,qǐng,"to ask, to invite, please (do sth), to treat (to a meal etc), to request"
95,96,請問,基礎,第1級,核心詞,24,94,"[['請問', ['25823']]]",ㄑㄧㄥˇ ㄨㄣˋ,qǐngwèn,"Excuse me, may I ask...?"
96,97,去,基礎,第1級,核心詞,2059,4057,"[['去', ['25953']]]",ㄑㄩˋ,qù,"to go, to go to (a place), (of a time etc) last, just passed, to send, to remove, to get rid of, to reduce, to be apart from in space or time, to die (euphemism), to play (a part), (when used either before or after a verb) to go in order to do sth, (after a verb of motion indicates movement away from the speaker), (used after certain verbs to indicate detachment or separation)"
97,98,去年,基礎,第1級,核心詞,36,126,"[['去年', ['25954']]]",ㄑㄩˋ ㄋㄧㄢˊ,qùnián,last year
98,99,熱,基礎,第1級,核心詞,87,262,"[['熱', ['35919']]]",ㄖㄜˋ,rè,"to warm up, to heat up, hot (of weather), heat, fervent"
99,100,人,基礎,第1級,核心詞,6185,4296,"[['人', ['36052']]]",ㄖㄣˊ,rén,"person, people, CL:個|个[ge4], 位[wei4]"
100,101,日,基礎,第1級,核心詞,275,133,"[['日', ['35857']]]",ㄖˋ,rì,"sun, day, date, day of the month"
101,102,容易,基礎,第1級,核心詞,362,404,"[['容易', ['36569']]]",ㄖㄨㄥˊ ㄧˋ,róngyì,"easy, straightforward, likely, liable to, apt to"
102,103,三,基礎,第1級,核心詞,1267,868,"[['三', ['38847']]]",ㄙㄢ,sān,"three, 3"
103,104,上,基礎,第1級,核心詞,4977,3509,"[['上', ['34855', '34869']]]",ㄕㄤˋ,shàng,"(bound form) up, upper, above, previous, first (of multiple parts), to climb, to get onto, to go up, to attend (class or university), (directional complement) up, (noun suffix) on, above"
104,105,上午,基礎,第1級,核心詞,26,14,"[['上午', ['34967']]]",ㄕㄤˋ ㄨˇ,shàngwǔ,"morning, CL:個|个[ge4]"
105,106,少,基礎,第1級,核心詞,204,340,"[['少', ['34055', '34062']]]",ㄕㄠˇ,shǎo,"few, less, to lack, to be missing, to stop (doing sth), seldom"
106,107,誰,基礎,第1級,核心詞,456,283,"[['誰', ['34016']]]",ㄕㄟˊ,shéi,"who, also pr. [shui2]"
107,108,什麼/甚麼,基礎,第1級,核心詞,1754,2650,"[['什麼', ['34679']], ['甚麼', ['34681']]]",ㄕㄣˊ ˙ㄇㄜ,shénme,"what?, something, anything"
108,109,十,基礎,第1級,核心詞,320,293,"[['十', ['33264']]]",ㄕˊ,shí,"ten, 10"
109,110,是,基礎,第1級,核心詞,18291,28602,"[['是', ['33694']]]",ㄕˋ,shì,"to be (followed by substantives only), correct, right, true, (respectful acknowledgement of a command) very well, (adverb for emphatic assertion)"
110,111,時候,基礎,第1級,核心詞,844,3606,"[['時候', ['33375']]]",ㄕˊ ㄏㄡˋ,shíhòu,"time, length of time, moment, period"
111,112,時間,基礎,第1級,核心詞,865,1063,"[['時間', ['33379']]]",ㄕˊ ㄐㄧㄢ,shíjiān,"(concept of) time, (duration of) time, (point in) time"
112,113,手機,基礎,第1級,6.社交、人際,39,61,"[['手機', ['45231']]]",ㄕㄡˇ ㄐㄧ,shǒujī,"cell phone, mobile phone, CL:部[bu4], 支[zhi1]"
113,114,書,基礎,第1級,核心詞,767,457,"[['書', ['35309']]]",ㄕㄨ,shū,"book, letter, document, CL:本[ben3], 冊|册[ce4], 部[bu4], to write"
114,115,水,基礎,第1級,核心詞,342,1245,"[['水', ['35591']]]",ㄕㄨㄟˇ,shuǐ,"water, river, liquid, beverage, additional charges or income, (of clothes) classifier for number of washes"
115,116,睡覺,基礎,第1級,核心詞,65,88,"[['睡覺', ['35740', '35741']]]",ㄕㄨㄟˋ ㄐㄧㄠˋ,shuìjiào,"to go to bed, to sleep"
116,117,說,基礎,第1級,核心詞,5312,6283,"[['說', ['35509', '35731', '44631']]]",ㄕㄨㄛ,shuō,"to speak, to talk, to say, to explain, to comment, to scold, to tell off, (bound form) theory, doctrine"
117,118,四,基礎,第1級,核心詞,553,423,"[['四', ['38637']]]",ㄙˋ,sì,"four, 4"
118,119,歲,基礎,第1級,核心詞,574,521,"[['歲', ['39217']]]",ㄙㄨㄟˋ,suì,"classifier for years (of age), year, year (of crop harvests)"
119,120,她,基礎,第1級,核心詞,4568,2329,"[['她', ['9922']]]",ㄊㄚ,tā,she
120,121,他,基礎,第1級,核心詞,10261,6366,"[['他', ['9908']]]",ㄊㄚ,tā,"he, him (used for either sex when the sex is unknown or unimportant), (used before sb's name for emphasis), (used as a meaningless mock object), (literary) other"
121,122,他們,基礎,第1級,核心詞,2945,3036,"[['他們', ['9909']]]",ㄊㄚ ˙ㄇㄣ,tāmen,they
122,123,太,基礎,第1級,核心詞,718,891,"[['太', ['10088']]]",ㄊㄞˋ  ,tài,"highest, greatest, too (much), very, extremely"
123,124,太太,基礎,第1級,核心詞,276,131,"[['太太', ['10100']]]",ㄊㄞˋ ˙ㄊㄞ,tàitai,"married woman, Mrs., Madam, wife, CL:個|个[ge4], 位[wei4]"
124,125,台灣/臺灣,基礎,第1級,1.個人資料,522,1445,"[['臺灣', ['10079']]]",ㄊㄞˊ ㄨㄢ,táiwān,Taiwan
125,126,臺灣人/台灣人,基礎,第1級,1.個人資料,5,11,[],ㄊㄞˊ ㄨㄢ  ㄖㄣˊ  ,táiwānrén,Taiwanese
126,127,天,基礎,第1級,核心詞,1520,1616,"[['天', ['11072']]]",ㄊㄧㄢ,tiān,"day, sky, heaven"
127,128,聽,基礎,第1級,核心詞,615,409,"[['聽', ['11309', '11394']]]",ㄊㄧㄥ,tīng,"to listen to, to hear, to heed, to obey, a can (loanword from English ""tin""), classifier for canned beverages, to let be, to allow (Taiwan pr. [ting4]), (literary) to administer, to deal with (Taiwan pr. [ting4])"
128,129,同學,基礎,第1級,核心詞,106,267,"[['同學', ['11998']]]",ㄊㄨㄥˊ ㄒㄩㄝˊ,tóngxué,"to study at the same school, fellow student, classmate, CL:位[wei4], 個|个[ge4]"
129,130,外,基礎,第1級,核心詞,388,298,"[['外', ['43186']]]",ㄨㄞˋ,wài,"outside, in addition, foreign, external"
130,131,晚安,基礎,第1級,核心詞,7,6,"[['晚安', ['43752']]]",ㄨㄢˇ ㄢ,wǎnān,"Good night!, Good evening!"
131,132,晚上,基礎,第1級,核心詞,189,188,"[['晚上', ['43749']]]",ㄨㄢˇ ㄕㄤˋ,wǎnshàng,"evening, night, CL:個|个[ge4], in the evening"
132,133,位,基礎,第1級,核心詞,1145,1031,"[['位', ['43547']]]",ㄨㄟˋ,wèi,"position, location, place, seat, classifier for people (honorific), classifier for binary bits (e.g. 十六位 16-bit or 2 bytes), (physics) potential"
133,134,問,基礎,第1級,核心詞,694,451,"[['問', ['43974']]]",ㄨㄣˋ,wèn,"to ask, to inquire"
134,135,問題,基礎,第1級,核心詞,1138,1105,"[['問題', ['43978']]]",ㄨㄣˋ ㄊㄧˊ,wèntí,"question, problem, issue, topic, CL:個|个[ge4]"
135,136,我,基礎,第1級,核心詞,13149,16244,"[['我', ['43141']]]",ㄨㄛˇ,wǒ,"I, me, my"
136,137,我們,基礎,第1級,核心詞,4150,12537,"[['我們', ['43143']]]",ㄨㄛˇ ˙ㄇㄣ,wǒmen,"we, us, ourselves, our"
137,138,五,基礎,第1級,核心詞,444,360,"[['五', ['42899']]]",ㄨˇ,wǔ,"five, 5"
138,139,想,基礎,第1級,核心詞,1876,2025,"[['想', ['28021']]]",ㄒㄧㄤˇ,xiǎng,"to think (about), to think of, to devise, to think (that), to believe (that), to desire, to want (to), to miss (feel wistful about the absence of)"
139,140,先生,基礎,第1級,核心詞,862,274,"[['先生', ['27312']]]",ㄒㄧㄢ ㄕㄥ ,xiānshēng,"teacher, gentleman, sir, mister (Mr.), husband, (dialect) doctor, CL:位[wei4]"
140,141,現在,基礎,第1級,核心詞,884,2365,"[['現在', ['27495']]]",ㄒㄧㄢˋ ㄗㄞˋ ,xiànzài,"now, at present, at the moment, modern, current, nowadays"
