Column1,序號,詞語,等別,級別,情境,書面字頻(每百萬字),口語字頻(每百萬字),簡編本系統號,參考注音,參考漢語拼音,warning,definition
6799,6800,經理人,精熟,第6級,,33,1,[],ㄐㄧㄥ ㄌㄧˇ ㄖㄣˊ,jīnglǐrén,FALSE,manager
6858,6859,居於,精熟,第6級,,7,1,[],ㄐㄩ ㄩˊ,jūyú,FALSE,to reside in
6945,6946,空檔,精熟,第6級,,9,8,"[['空檔', ['18909', '18977']]]",ㄎㄨㄥˋ ㄉㄤˇ,kòngdǎng,TRUE,gap (between two objects); interval of time (between events); opening in one's schedule; free time; (fig.) gap (in the market etc)
7354,7355,年齡層,精熟,第6級,,6,4,"[['年齡層', ['12784']]]",ㄋㄧㄢˊ ㄌㄧㄥˊ ㄘㄥˊ,niánlíngcéng,FALSE,generation gap
7377,7378,暖身,精熟,第6級,,3,2,"[['暖身', ['12990']]]",ㄋㄨㄢˇ ㄕㄣ,nuǎnshēn,FALSE,to warm up before exercise
7402,7403,徬徨,精熟,第6級,,7,4,"[['徬徨', ['2860']]]",ㄆㄤˊ ㄏㄨㄤˊ,pánghuáng,FALSE,"to linger, to hesitate"
7684,7685,取自,精熟,第6級,,5,2,[],ㄑㄩˇ ㄗˋ,qǔzì,FALSE,retrieved from
7817,7818,閃閃發光,精熟,第6級,,7,1,"[['閃閃發光', ['34496']]]",ㄕㄢˇ ㄕㄢˇ ㄈㄚ ㄍㄨㄤ,shǎnshǎnfāguāng,FALSE,to light brightly; describes a prosperous career. 
7841,7842,上上下下,精熟,第6級,,4,2,"[['上上下下', ['34942']]]",ㄕㄤˋ ㄕㄤˋ ㄒㄧㄚˋ ㄒㄧㄚˋ,shàngshàngxiàxià,FALSE,everyone in the group from top to bottom; from head to foot
7861,7862,涉入,精熟,第6級,,6,2,[],ㄕㄜˋ ㄖㄨˋ,shèrù,FALSE,to wade into; involvement
7945,7946,事蹟,精熟,第6級,,15,5,"[['事蹟', ['33653']]]",ㄕˋ ㄐㄧ,shìjī,FALSE,something that an individual or group has done
7981,7982,視聽,精熟,第6級,,4,3,"[['視聽', ['33552']]]",ㄕˋ ㄊㄧㄥ,shìtīng,FALSE,knowledge; visual and auditory 
8090,8091,說穿,精熟,第6級,,6,3,"[['說穿', ['35538']]]",ㄕㄨㄛ ㄔㄨㄢ,shuōchuān,FALSE,to explain clearly; to unravel the secrets; to tell the truth openly
8097,8098,四海,精熟,第6級,,9,2,"[['四海', ['38655']]]",ㄙˋ ㄏㄞˇ,sìhǎi,FALSE,everywhere in the world
8142,8143,隨從,精熟,第6級,,13,0,"[['隨從', ['39193', '39194']]]",ㄙㄨㄟˊ ㄗㄨㄥˋ,suízòng,TRUE,followers
8162,8163,台階,精熟,第6級,,13,3,[],ㄊㄞˊ ㄐㄧㄝ,táijiē,FALSE,stair
8479,8480,席次,精熟,第6級,,2,4,"[['席次', ['26359']]]",ㄒㄧˊ ㄘˋ,xícì,FALSE,seating order; number of seats a political group occupies in parliament
8513,8514,下文,精熟,第6級,,5,2,"[['下文', ['26667']]]",ㄒㄧㄚˋ ㄨㄣˊ,xiàwén,FALSE,the text below this article; the continuation or result of something
8594,8595,笑咪咪,精熟,第6級,,3,2,"[['笑咪咪', ['27135']]]",ㄒㄧㄠˋ ㄇㄧ ㄇㄧ,xiàomīmī,FALSE,smiling look
8628,8629,心安,精熟,第6級,,4,2,[],ㄒㄧㄣ ㄢ,xīnān,FALSE,no worries
8671,8672,興起,精熟,第6級,,23,13,"[['興起', ['28157', '28343']]]",ㄒㄧㄥˋ ㄑㄧˇ,xìngqǐ,TRUE,to grow and prosper
8895,8896,依序,精熟,第6級,,7,3,"[['依序', ['40278']]]",ㄧ ㄒㄩˋ,yīxù,FALSE,"in order, in sequence"
8904,8905,譯註,精熟,第6級,,23,0,[],ㄧˋ ㄓㄨˋ,yìzhù,FALSE,translation and annotation of ancient documents
8945,8946,用兵,精熟,第6級,,8,0,"[['用兵', ['45092']]]",ㄩㄥˋ ㄅㄧㄥ,yòngbīng,FALSE,to call on men and horses to engage in combat
9044,9045,源源不絕,精熟,第6級,,5,7,"[['源源不絕', ['44818']]]",ㄩㄢˊ ㄩㄢˊ ㄅㄨˋ ㄐㄩㄝˊ,yuányuánbùjué,FALSE,continuously
9072,9073,在在,精熟,第6級,,8,4,"[['在在', ['37085']]]",ㄗㄞˋ ㄗㄞˋ,zàizài,FALSE,everywhere
9076,9077,讚歎,精熟,第6級,,5,2,[],ㄗㄢˋ ㄊㄢˋ,zàntàn,FALSE,to praise
9228,9229,致勝,精熟,第6級,,6,1,"[['致勝', ['29278']]]",ㄓˋ ㄕㄥˋ,zhìshèng,FALSE,to win
9239,9240,知性,精熟,第6級,,6,1,"[['知性', ['28958']]]",ㄓ ㄒㄧㄥˋ,zhīxìng,FALSE,possessing qualities such as knowledge and rationality
9267,9268,重責大任,精熟,第6級,,3,1,"[['重責大任', ['31333']]]",ㄓㄨㄥˋ ㄗㄜˊ ㄉㄚˋ ㄖㄣˋ,zhòngzédàrèn,FALSE,a great responsibility
9292,9293,助人,精熟,第6級,,12,10,"[['助人', ['30669']]]",ㄓㄨˋ ㄖㄣˊ,zhùrén,FALSE,to help others
9381,9382,自知,精熟,第6級,,11,1,[],ㄗˋ ㄓ,zìzhī,FALSE,to understand oneself
9385,9386,縱,精熟,第6級,,19,3,"[['縱', ['37678', '37736']]]",ㄗㄨㄥ,zōng,TRUE,footprints; traces
9439,9440,愛恨,精熟,第7級,,3,2,[],ㄞˋㄏㄣˋ,àihèn,FALSE,love-hate relationship
9443,9444,礙於,精熟,第7級,,4,3,[],ㄞˋ ㄩˊ,àiyú,FALSE,to be constrained by; due to (a constraining factor)
9492,9493,拔腿就跑,精熟,第7級,,2,0,"[['拔腿就跑', ['49']]]",ㄅㄚˊ ㄊㄨㄟˇ ㄐㄧㄡˋ ㄆㄠˇ,bátuǐjiùpǎo,FALSE,run quickly; run away frightened or embarrassed
9501,9502,擺盪,精熟,第7級,,4,4,"[['擺盪', ['396']]]",ㄅㄞˇ ㄉㄤˋ,bǎidàng,FALSE,to swing or shake
9514,9515,百態,精熟,第7級,,2,3,[],ㄅㄞˇ ㄊㄞˋ,bǎitài,FALSE,various forms
9534,9535,包覆,精熟,第7級,,4,5,"[['包覆', ['45197']]]",ㄅㄠ ㄈㄨˋ,bāofù,FALSE,"to cover, to contain"
9565,9566,悲情,精熟,第7級,,3,5,"[['悲情', ['519']]]",ㄅㄟ ㄑㄧㄥˊ,bēiqíng,FALSE,sad emotion
9571,9572,備感,精熟,第7級,,3,1,[],ㄅㄟˋㄍㄢˇ,bèigǎn,FALSE,immersed feeling
9594,9595,閉口,精熟,第7級,,3,1,[],ㄅㄧˋㄎㄡˇ,bìkǒu,FALSE,to keep your mouth shut and not speak or express your opinion
9595,9596,畢露,精熟,第7級,,3,0,[],ㄅㄧˋ ㄌㄨˋ,bìlù,FALSE,to completely reveal
9600,9601,閉目,精熟,第7級,,3,0,[],ㄅㄧˋ ㄇㄨˋ,bìmù,FALSE,to close one's eyes
9627,9628,遍野,精熟,第7級,,4,3,[],ㄅㄧㄢˋ ㄧㄝˇ,biànyě,FALSE,everywhere in the wilderness
9719,9720,布條,精熟,第7級,,3,4,"[['布條', ['2351']]]",ㄅㄨˋ ㄊㄧㄠˊ,bùtiáo,FALSE,cloth cut into strips
9747,9748,採收,精熟,第7級,,5,75,"[['採收', ['38004']]]",ㄘㄞˇ ㄕㄡ,cǎishōu,FALSE,to pick; to collect
9760,9761,參訪,精熟,第7級,,4,12,[],ㄘㄢ ㄈㄤˇ,cānfǎng,FALSE,to investigate; to visit
9782,9783,草創,精熟,第7級,,3,3,"[['草創', ['38084']]]",ㄘㄠˇ ㄔㄨㄤˋ,cǎochuàng,FALSE,"drafting, creating"
9811,9812,纏鬥,精熟,第7級,,3,1,"[['纏鬥', ['31947']]]",ㄔㄢˊ ㄉㄡˋ,chándòu,FALSE,fierce fighting
9820,9821,摻雜,精熟,第7級,,4,1,"[['摻雜', ['31911']]]",ㄔㄢ ㄗㄚˊ,chānzá,FALSE,to mix
9823,9824,長程,精熟,第7級,,3,2,"[['長程', ['32145']]]",ㄔㄤˊ ㄔㄥˊ,chángchéng,FALSE,a long trip
9833,9834,長篇大論,精熟,第7級,,3,1,"[['長篇大論', ['32105']]]",ㄔㄤˊ ㄆㄧㄢ ㄉㄚˋ ㄌㄨㄣˋ,chángpiāndàlùn,FALSE,a eloquent speech or an extremely long article
9852,9853,朝政,精熟,第7級,,9,0,"[['朝政', ['31780']]]",ㄔㄠˊ ㄓㄥˋ,cháozhèng,FALSE,power of politics of an imperial court
9854,9855,扯上,精熟,第7級,,4,1,[],ㄔㄜˇㄕㄤˋ,chěshàng,FALSE,be associated with
9897,9898,稱奇,精熟,第7級,,2,0,[],ㄔㄥ ㄑㄧˊ,chēngqí ,FALSE,to praise wonderfully
9962,9963,愁容,精熟,第7級,,3,1,"[['愁容', ['31861']]]",ㄔㄡˊ ㄖㄨㄥˊ,chóuróng,FALSE,a sad face
9969,9970,出關,精熟,第7級,,2,2,[],ㄔㄨ ㄍㄨㄢ,chūguān,FALSE,to exit the border crossing
9999,10000,串連,精熟,第7級,,4,10,[],ㄔㄨㄢˋ ㄌㄧㄢˊ,chuànlián,FALSE,to establish ties; to contact (electricity); to connect (components) in series (串聯)
10028,10029,純然,精熟,第7級,,3,1,"[['純然', ['32928']]]",ㄔㄨㄣˊ ㄖㄢˊ,chúnrán,FALSE,completely
10042,10043,辭彙,精熟,第7級,,4,0,"[['辭彙', ['37829']]]",ㄘˊ ㄏㄨㄟˋ,cíhuì,FALSE,vocabulary
10068,10069,粗聲粗氣,精熟,第7級,,1,0,[],ㄘㄨ ㄕㄥ ㄘㄨ ㄑㄧˋ,cūshēngcūqì,FALSE,loud and rude speech
10079,10080,存疑,精熟,第7級,,4,1,"[['存疑', ['38425']]]",ㄘㄨㄣˊ ㄧˊ,cúnyí,FALSE,(as for the questions that are still doubtful) to leave them undecided
10104,10105,大老,精熟,第7級,,4,1,"[['大老', ['7064']]]",ㄉㄚˋ ㄌㄠˇ,dàlǎo,FALSE,a person who is virtuous and admired by others
10116,10117,大手筆,精熟,第7級,,2,1,"[['大手筆', ['7313']]]",ㄉㄚˋ ㄕㄡˇ ㄅㄧˇ,dàshǒubǐ,FALSE,great work or author; a person who spends a lot of money; to start a large-scale business
10123,10124,大相逕庭,精熟,第7級,,2,1,"[['大相逕庭', ['7229']]]",ㄉㄚˋ ㄒㄧㄤ ㄐㄧㄥˋ ㄊㄧㄥˊ,dàxiāngjìngtíng,FALSE,completely different
10150,10151,旦夕,精熟,第7級,,4,1,[],ㄉㄢˋ ㄒㄧˋ,dànxì,FALSE,sooner or later; a metaphor that the time is short
10155,10156,當差,精熟,第7級,,3,0,"[['當差', ['8053']]]",ㄉㄤ ㄔㄞ,dāngchāi,FALSE,a small official or servant who was sent by others; being sent around by others; to take charge of something in a certain place 
10161,10162,當頭棒喝,精熟,第7級,,2,1,"[['當頭棒喝', ['8029']]]",ㄉㄤ ㄊㄡˊ ㄅㄤˋ ㄏㄜˋ,dāngtóubànghè,FALSE,a wake-up call
10166,10167,倒過來,精熟,第7級,,3,3,[],ㄉㄠˋ ㄍㄨㄛˋ ㄌㄞˊ,dàoguòlái,FALSE,to turn upside down; to turn over; to sell (goods)
10200,10201,敵不過,精熟,第7級,,2,1,[],ㄉㄧˊㄅㄨˊㄍㄨㄛˋ,díbúguò,FALSE,fail to conquer; be defeated by; less superior
10275,10276,棟樑,精熟,第7級,,1,0,[],ㄉㄨㄥˋ ㄌㄧㄤˊ,dòngliáng,FALSE,"beams of the house, a metaphor for people who bear important responsibilities for the country (棟梁)"
10311,10312,獨門,精熟,第7級,,3,2,"[['獨門', ['9226']]]",ㄉㄨˊ ㄇㄣˊ,dúmén,FALSE,a certain skill or secret unique to one person or one family: a unique skill.
10317,10318,獨享,精熟,第7級,,2,1,"[['獨享', ['9254']]]",ㄉㄨˊ ㄒㄧㄤˇ,dúxiǎng,FALSE,to enjoy something alone without sharing it with anyone
10324,10325,端視,精熟,第7級,,3,0,[],ㄉㄨㄢ ㄕˋ,duānshì,FALSE,to look carefully
10350,10351,多難,精熟,第7級,,3,2,"[['多難', ['9382']]]",ㄉㄨㄛ ㄋㄢˋ,duōnàn,FALSE,frequent disasters
10406,10407,泛黃,精熟,第7級,,2,2,[],ㄈㄢˋ ㄏㄨㄤˊ,fànhuáng,FALSE,yellowing phenomenon of a painting or papers
10440,10441,非比尋常,精熟,第7級,,4,2,[],ㄈㄟ ㄅㄧˇ ㄒㄩㄣˊ ㄔㄤˊ,fēibǐxúncháng,FALSE,unusual
10470,10471,分工合作,精熟,第7級,,3,3,"[['分工合作', ['5735']]]",ㄈㄣ ㄍㄨㄥ ㄏㄜˊ ㄗㄨㄛˋ,fēngōnghézuò,FALSE,The act of assigning one thing to multiple people to do and they are keeping close contact with each other to complete it together.
10473,10474,分際,精熟,第7級,,3,1,[],ㄈㄣˋ ㄐㄧˋ,fènjì,FALSE,separating boundary; to separate
10499,10500,豐功偉業,精熟,第7級,,2,1,"[['豐功偉業', ['6223']]]",ㄈㄥ ㄍㄨㄥ ㄨㄟˇ ㄧㄝˋ,fēnggōngwěiyè,FALSE,great achievements
10547,10548,浮生,精熟,第7級,,3,1,"[['浮生', ['6377']]]",ㄈㄨˊ ㄕㄥ,fúshēng,FALSE,life
10571,10572,概略,精熟,第7級,,2,0,"[['概略', ['16032']]]",ㄍㄞˋ ㄌㄩㄝˋ,gàilüè,FALSE,roughly; approximately
10612,10613,高照,精熟,第7級,,3,2,[],ㄍㄠ ㄓㄠˋ,gāozhào,FALSE,shining brightly
10625,10626,擱下,精熟,第7級,,3,0,"[['擱下', ['15833']]]",ㄍㄜ ㄒㄧㄚˋ,gēxià,FALSE,to lay down; to stop midway; can be accepted
10633,10634,根深柢固,精熟,第7級,,4,1,"[['根深柢固', ['16483']]]",ㄍㄣ ㄕㄣ ㄉㄧˇ ㄍㄨˋ,gēnshēndǐgù,FALSE,(root) to grow deep and strong; the foundation is solid and unbreakable. 
10634,10635,根植,精熟,第7級,,2,0,[],ㄍㄣ ㄓˊ,gēnzhí,FALSE,to take root
10642,10643,更形,精熟,第7級,,4,2,[],ㄍㄥˋ ㄒㄧㄥˊ,gèngxíng,FALSE,
10663,10664,功勳,精熟,第7級,,4,0,[],ㄍㄨㄥ ㄒㄩㄣ,gōngxūn,FALSE,meritorious contributions to the country and society
10668,10669,攻佔,精熟,第7級,,5,1,[],ㄍㄨㄥ ㄓㄢˋ,gōngzhàn,FALSE,capture and occupy (攻占)
10689,10690,孤軍,精熟,第7級,,6,8,"[['孤軍', ['16657']]]",ㄍㄨ ㄐㄩㄣ,gūjūn,FALSE,an isolated army
10690,10691,孤苦,精熟,第7級,,2,2,"[['孤苦', ['16652']]]",ㄍㄨ ㄎㄨˇ,gūkǔ,FALSE,"without support, poor life"
10703,10704,鼓足,精熟,第7級,,2,1,[],ㄍㄨˇㄗㄨˊ,gǔzú,FALSE,the legs of the drum stand
10720,10721,關鍵點,精熟,第7級,,3,2,[],ㄍㄨㄢ ㄐㄧㄢˋㄉㄧㄢˇ,guānjiàndiǎn,FALSE,crucial point
10735,10736,慣於,精熟,第7級,,3,0,[],ㄍㄨㄢˋ ㄩˊ,guànyú,FALSE,be used to sth.
10736,10737,觀照,精熟,第7級,,6,2,"[['觀照', ['17396']]]",ㄍㄨㄢ ㄓㄠˋ,guānzhào,FALSE,"Buddhist language, refers to observing the world quietly and seeing things with wisdom"
10737,10738,觀眾席,精熟,第7級,,4,2,[],ㄍㄨㄢ ㄓㄨㄥˋㄒㄧˊ,guānzhòngxí,FALSE,auditorium
10739,10740,光采,精熟,第7級,,3,1,[],ㄍㄨㄤ ㄘㄞˇ,guāngcǎi,FALSE,radiance and color; glory; shiny and gorgeous
10764,10765,圭臬,精熟,第7級,,2,1,[],ㄍㄨㄟ ㄋㄧㄝˋ,guīniè,FALSE,"sundial, a metaphor for laws and regulations."
10782,10783,過路財神,精熟,第7級,,0,0,"[['過路財神', ['17103']]]",ㄍㄨㄛˋ ㄌㄨˋ ㄘㄞˊ ㄕㄣˊ,guòlùcáishén,FALSE,an illustration of someone who temporarily handles a large amount of property that is not theirs. 
10810,10811,寒顫,精熟,第7級,,3,1,"[['寒顫', ['19671']]]",ㄏㄢˊ ㄓㄢˋ,hánzhàn,FALSE,to shiver with cold.
10862,10863,黑漆漆,精熟,第7級,,2,3,"[['黑漆漆', ['19353']]]",ㄏㄟ ㄑㄧ ㄑㄧ,hēiqīqī,FALSE,pitch-dark
10877,10878,轟隆隆,精熟,第7級,,3,1,[],ㄏㄨㄥ ㄌㄨㄥˊㄌㄨㄥˊ,hōnglónglóng,FALSE,"describes the sound of thunder, cannons, explosions, machinery, etc."
10890,10891,後患,精熟,第7級,,3,1,"[['後患', ['19578']]]",ㄏㄡˋ ㄏㄨㄢˋ,hòuhuàn,FALSE,future trouble
10990,10991,毀於一旦,精熟,第7級,,0,0,"[['毀於一旦', ['20606']]]",ㄏㄨㄟˇ ㄩˊ ㄧ ㄉㄢˋ,huǐyúyīdàn,FALSE,"be swept away overnight, be destroyed in a moment"
10992,10993,迴路,精熟,第7級,,15,4,[],ㄏㄨㄟˊㄌㄨˋ,huílù,FALSE,circuit
11022,11023,獲益良多,精熟,第7級,,0,0,[],ㄏㄨㄛˋ ㄧˋ ㄌㄧㄤˊ ㄉㄨㄛ,huòyìliángduō,FALSE,to benefit a lot
11027,11028,集大成,精熟,第7級,,2,1,[],ㄐㄧˊ ㄉㄚˋ ㄔㄥˊ,jídàchéng,FALSE,to gather various opinions into a complete doctrine
11032,11033,嫉惡如仇,精熟,第7級,,1,0,"[['嫉惡如仇', ['21468']]]",ㄐㄧˊ ㄜˋ ㄖㄨˊ ㄔㄡˊ,jíèrúchóu,FALSE,(idiom) to hate evil as one hates an enemy
11045,11046,擊垮,精熟,第7級,,3,1,[],ㄐㄧˊ ㄎㄨㄚˇ,jíkuǎ,FALSE,to strike down
11055,11056,擊破,精熟,第7級,,4,1,"[['擊破', ['21509']]]",ㄐㄧˊ ㄆㄛˋ,jípò,FALSE,"to defeat, to conquer"
11056,11057,記取,精熟,第7級,,3,4,"[['記取', ['21606']]]",ㄐㄧˋ ㄑㄩˇ,jìqǔ,FALSE,to remember
11107,11108,家務事,精熟,第7級,,4,1,[],ㄐㄧㄚ ㄨˋ ㄕˋ,jiāwùshì,FALSE,"daily routines at home,  conflicts in the family"
11136,11137,健將,精熟,第7級,,3,1,"[['健將', ['23040']]]",ㄐㄧㄢˋ ㄐㄧㄤˋ,jiànjiàng,FALSE,"a brave general who is good at fighting, a master of sports or competitive activities"
11139,11140,艱鉅,精熟,第7級,,4,4,"[['艱鉅', ['22858']]]",ㄐㄧㄢ ㄐㄩˋ,jiānjù,FALSE,"arduous, difficult"
11149,11150,艱澀,精熟,第7級,,3,1,"[['艱澀', ['22862']]]",ㄐㄧㄢ ㄙㄜˋ,jiānsè,FALSE,difficult
11163,11164,健在,精熟,第7級,,3,2,"[['健在', ['23046']]]",ㄐㄧㄢˋ ㄗㄞˋ,jiànzài,FALSE,"a sound and intact existence, refers mostly to people. "
11180,11181,交疊,精熟,第7級,,4,1,[],ㄐㄧㄠ ㄉㄧㄝˊ,jiāodié,FALSE,to reduce length or volume by folding or overlapping
11207,11208,叫座,精熟,第7級,,3,0,"[['叫座', ['22513']]]",ㄐㄧㄠˋ ㄗㄨㄛˋ,jiàozuò,FALSE,"to have the ability to appeal and fill the seats with customers, generally referred to as art performances, etc., which were deeply loved and appreciated by the masses. "
11219,11220,藉故,精熟,第7級,,2,1,"[['藉故', ['22280']]]",ㄐㄧㄝˋ ㄍㄨˋ,jiègù,FALSE,to pretend to get into an accident
